,group,names,scores,logfoldchanges,pvals,pvals_adj
66937,5.0,CD47,-3.5073223,-0.35780373,0.00045264044807153797,0.0016884523961268694
13087,1.0,CD47,-5.6363835,-0.5011902,1.7365844111772338e-08,1.1109708494379118e-07
94492,7.0,CD47,-4.0091267,-0.69015324,6.09436862083708e-05,0.0004575677649488162
80851,6.0,CD47,-4.271345,-0.57887805,1.942973362347385e-05,0.00010936395179250125
53702,4.0,CD47,-5.852479,-0.5628084,4.843000340368892e-09,2.7124408608843063e-08
26254,2.0,CD47,-4.4210353,-0.39754608,9.82291759410574e-06,3.8254555659208685e-05
39977,3.0,CD47,-4.9979653,-0.44243908,5.793843236188879e-07,2.633688914986194e-06
122533,10.0,CD58,5.5588746,1.6837813,2.7151955911049844e-08,4.4444501471327904e-07
109076,9.0,CD58,5.577862,1.4069663,2.4349305885913017e-08,3.551902519155221e-07
96075,8.0,CD58,4.162929,1.2195764,3.1419076619452446e-05,0.0002770814594120702
82117,7.0,CD58,5.3869863,1.3034394,7.164887442430909e-08,9.425761060076503e-07
69585,6.0,CD58,4.4924726,0.9909156,7.04009672532046e-06,4.246960310635609e-05
149543,12.0,CD58,6.184875,2.0342023,6.215167832485405e-10,1.1099568198991415e-08
55642,5.0,CD58,6.0751624,1.1023866,1.238623437172119e-09,9.419800825280322e-09
42517,4.0,CD58,6.0056925,1.0420026,1.9051688539138357e-09,1.1059292785348025e-08
28782,3.0,CD58,6.575968,1.1431804,4.833774078365282e-11,3.145903831674559e-10
136043,11.0,CD58,5.676407,1.8979672,1.3755349921633283e-08,2.2960070516541278e-07
2621,1.0,CD58,3.5449417,0.7834503,0.0003926998732157979,0.0014580302204394559
163052,13.0,CD58,7.421224,2.2136135,1.1604276293955467e-13,2.1847995575977075e-12
15160,2.0,CD58,6.950942,1.181471,3.6285434673856375e-12,2.4695622382101242e-11
27040,2.0,HLA-A,-16.619127,-0.85818917,5.066410894422183e-62,1.648653948985411e-60
135476,11.0,HLA-A,11.278926,1.6897483,1.6677045174089535e-29,2.0711666102903674e-27
121950,10.0,HLA-A,10.799035,1.5490465,3.478382240339892e-27,3.8914760650810836e-25
149008,12.0,HLA-A,12.280065,1.8396089,1.1590597940804986e-34,1.5233196536376417e-32
108479,9.0,HLA-A,9.68214,1.2699522,3.591160471704265e-22,2.4185840450477926e-20
97471,8.0,HLA-A,2.6879234,0.4384305,0.007189790111357124,0.030839096558124647
67589,5.0,HLA-A,-9.458542,-0.58022714,3.1226799950041045e-21,5.1740170247699587e-20
54104,4.0,HLA-A,-14.660407,-0.7694058,1.1557803847094654e-48,3.104325211867467e-47
162505,13.0,HLA-A,15.554596,1.9670862,1.48086289639864e-54,3.23329694008845e-52
13505,1.0,HLA-A,-14.696285,-0.7930904,6.8094285651156725e-49,2.3880630695847373e-47
40573,3.0,HLA-A,-15.628101,-0.8225024,4.685598229242787e-55,1.435043964462887e-53
81047,6.0,HLA-A,-6.2895722,-0.3728256,3.1834202108833473e-10,3.242585357014889e-09
122114,10.0,HLA-B,8.166125,1.2427187,3.1845248438671836e-16,1.3642061016275337e-14
162684,13.0,HLA-B,11.5875635,1.5981675,4.764927161593852e-31,2.509837314649649e-29
13536,1.0,HLA-B,-22.393604,-2.1809523,4.5432811576859455e-111,5.802112927508928e-109
27073,2.0,HLA-B,-27.347013,-2.849505,1.1719468106329136e-164,2.2344568979630634e-162
81209,6.0,HLA-B,-13.545434,-1.831801,8.431419990728793e-42,5.050271345774145e-40
135708,11.0,HLA-B,7.7447367,1.2030454,9.57801404877717e-15,3.3764993796431393e-13
54147,4.0,HLA-B,-24.48529,-2.4823332,2.1190987003112455e-132,2.8402216936745873e-130
94632,7.0,HLA-B,-5.536569,-1.0333669,3.0845407366037125e-08,4.3046832939592225e-07
149168,12.0,HLA-B,9.388692,1.4674942,6.074985512577445e-21,2.875422338593038e-19
108975,9.0,HLA-B,5.926274,0.7322394,3.0988614526701546e-09,5.19174350059355e-08
40610,3.0,HLA-B,-25.485298,-2.5927699,2.869125957417738e-143,4.3639728186026877e-141
67680,5.0,HLA-B,-18.660385,-2.1807127,1.0398041890228208e-77,9.575394086259813e-76
13459,1.0,HLA-C,-11.387182,-0.6532051,4.84401441621615e-30,9.905350929353174e-29
122617,10.0,HLA-C,5.273423,0.6241615,1.3390233544975464e-07,1.9262868384519967e-06
94411,7.0,HLA-C,-3.4013045,-0.3449227,0.0006706505439439136,0.003935239017498379
162897,13.0,HLA-C,8.861503,0.936368,7.894337404257586e-19,2.0472345870006694e-17
27034,2.0,HLA-C,-15.618064,-0.8736746,5.484548632890666e-55,1.5308110276998132e-53
110050,9.0,HLA-C,3.7317932,0.37600607,0.00019012158371159237,0.0012469359877441016
81125,6.0,HLA-C,-8.007202,-0.58296865,1.173471372048257e-15,1.9372295077338116e-14
67626,5.0,HLA-C,-11.339862,-0.7266229,8.327591292939934e-30,1.9742662580127475e-28
135827,11.0,HLA-C,6.800534,0.8036803,1.042321856293825e-11,2.65723370407712e-10
54115,4.0,HLA-C,-15.714292,-0.89180905,1.20723159020773e-55,3.7917155537452536e-54
40571,3.0,HLA-C,-15.310209,-0.85526025,6.535320786442479e-53,1.8783150209357077e-51
149489,12.0,HLA-C,6.5580807,0.7980863,5.450478446092192e-11,1.075555783159621e-09
122289,10.0,HLA-E,6.7685013,0.9862731,1.3012310351312527e-11,3.3744759621784995e-10
108698,9.0,HLA-E,7.370718,0.91226596,1.697114382887921e-13,4.994312478511694e-12
162712,13.0,HLA-E,11.1070795,1.488381,1.158879919408028e-28,5.428289781670061e-27
96160,8.0,HLA-E,4.0384827,0.53928965,5.379805569710124e-05,0.0004459671034731534
149307,12.0,HLA-E,7.8277903,1.1988734,4.965189541005396e-15,1.4870303278006648e-13
135776,11.0,HLA-E,7.211358,1.0433332,5.539660631907757e-13,1.6010294642328112e-11
31443,3.0,IFNGR1,2.3254724,0.13113491,0.02004671440559077,0.0445237691400299
83433,7.0,IFNGR1,3.1481903,0.37898242,0.0016428477987994125,0.008496683146761188
17572,2.0,IFNGR2,2.4948125,0.14899306,0.012602374026153667,0.02957156130907301
44723,4.0,IFNGR2,2.5245602,0.13702042,0.011584315889995185,0.027706163286725233
96859,8.0,IRF1,3.1781259,1.2461513,0.0014823041487713631,0.008217015258770655
124213,10.0,IRF1,2.5826278,1.3398352,0.009805102681726982,0.04517756126703137
164073,13.0,IRF1,3.605396,1.6576625,0.00031167739071750615,0.0019309733813010898
84117,7.0,IRF1,2.5499258,0.9240399,0.010774586150012165,0.042179170824960865
150336,12.0,IRF1,3.6138844,2.0311413,0.0003016434090798911,0.0022522596959263573
13222,1.0,IRF9,-6.5258613,-0.8063865,6.761181009049533e-11,5.358671388729715e-10
136970,11.0,IRF9,3.1043599,0.84109735,0.0019069123915059914,0.012464448596724579
67089,5.0,IRF9,-4.0560913,-0.57996655,4.99007160702839e-05,0.00022118729320348173
109330,9.0,IRF9,4.9363537,1.0975518,7.95966214560669e-07,8.813816643211327e-06
80832,6.0,IRF9,-4.1694717,-0.7739596,3.053062147366532e-05,0.00016598113369036447
40152,3.0,IRF9,-5.974426,-0.7565704,2.3090218137707135e-09,1.3072868378508637e-08
163840,13.0,IRF9,4.141426,1.101672,3.451527568338263e-05,0.00025338030744357406
150142,12.0,IRF9,4.009313,1.1681024,6.089565001206851e-05,0.0005335562551542856
26617,2.0,IRF9,-6.1497884,-0.7210073,7.758631315396645e-10,4.465501365498486e-09
53481,4.0,IRF9,-4.7194686,-0.5512151,2.3646139571800914e-06,1.0129676942514841e-05
2316,1.0,JAK1,4.0905075,0.5984381,4.304299892443191e-05,0.000186574792327901
42687,4.0,JAK1,5.610948,0.7398536,2.0122132575438813e-08,1.0640363620067e-07
29514,3.0,JAK1,4.799429,0.6829172,1.5911872365133432e-06,6.892768518617961e-06
68870,6.0,JAK1,6.1736836,1.0417082,6.671692083573101e-10,6.597128979936382e-09
56953,5.0,JAK1,3.5927668,0.58733934,0.00032718541469832415,0.0012554163715337908
17329,2.0,JAK1,2.7633672,0.42884138,0.0057208383534553325,0.014456410078537396
110595,9.0,JAK1,3.1251109,0.72850454,0.0017773803464892026,0.00887182807906502
83663,7.0,JAK1,2.924217,0.5997282,0.0034532395046916074,0.01614174833391239
136489,11.0,PDCD2,4.059841,1.130579,4.910608910994675e-05,0.00047313105215754386
163651,13.0,PDCD2,4.691637,1.1532403,2.7102769465791873e-06,2.3932823891612825e-05
149673,12.0,PDCD2,5.483792,1.4614686,4.1630415089555774e-08,6.079298048191116e-07
1747,1.0,PDCD2,5.395439,0.7611859,6.83562365311657e-08,4.1291315212958054e-07
108762,9.0,PDCD2,6.993012,1.4361057,2.690461398379763e-12,6.782267402209842e-11
95644,8.0,PDCD2,5.0175986,0.9884658,5.232138925657034e-07,6.9235058295815505e-06
81723,7.0,PDCD2,7.218607,1.3145611,5.252274218534896e-13,1.2561843833269768e-11
68299,6.0,PDCD2,8.69118,1.281005,3.5869295403970185e-18,6.976474883384258e-17
54931,5.0,PDCD2,8.96614,1.1803002,3.070882395555041e-19,4.618948332069843e-18
122595,10.0,PDCD2,5.3365784,1.2274891,9.471690621969156e-08,1.408992043402159e-06
41361,4.0,PDCD2,11.240442,1.207116,2.580856647771527e-29,4.0671776997535695e-28
28051,3.0,PDCD2,9.713385,1.0674441,2.644082034938212e-22,3.1507868404012826e-21
14721,2.0,PDCD2,8.756866,1.0233057,2.00752508298353e-18,1.931475980692825e-17
66873,5.0,STAT1,-3.319174,-0.57181454,0.0009028412038460761,0.0031753082297906812
53670,4.0,STAT1,-5.639831,-0.7651176,1.702172700998242e-08,9.078925080147045e-08
39529,3.0,STAT1,-3.5243907,-0.4831151,0.0004244578226520543,0.0013381195960039261
12752,1.0,STAT1,-4.1352525,-0.5392096,3.545642664522853e-05,0.00015598753574795537
26335,2.0,STAT1,-4.741614,-0.6020914,2.1202222712111383e-06,8.861206818581408e-06
121367,9.0,STAT3,-2.9088337,-0.9015513,0.003627796818160214,0.016211790327942205
52985,4.0,STAT3,-3.2517695,-0.33853865,0.0011468893951889776,0.0033670444030954655
39042,3.0,STAT3,-2.539378,-0.24994689,0.011104981392101127,0.026459291726490256
175142,13.0,STAT3,-2.8845518,-0.66084266,0.003919713087042317,0.018456054281492815
